trial,mse,mae,mape,VAR_mse,VAR_mae,VAR_mape,mse_complete_ds,mae_complete_ds,mape_complete_ds
SoundCloud_1,1273.936572265625,20.862009811401368,32.56120681762695,3603.576390955448,0.3412964248354546,19.51619535853388,1299.7291259765625,20.677839279174805,28.46060943603516
Microsoft_Azure_1,1277.40234375,20.966513442993165,33.21673698425293,2516.5581714749337,0.3711977721418952,32.3929227504335,1296.8287353515625,20.716636657714844,29.69002342224121
Web_Games_1,1279.14794921875,21.02083854675293,32.19681930541992,2905.448095107078,0.3445692176895681,11.88747915320564,1269.29736328125,20.659311294555664,28.584999084472656
Skype_1,1280.3349365234376,20.845548248291017,31.36764602661133,5429.797331210375,0.3911958597329794,23.272488069896063,1265.1246337890625,20.4050407409668,26.77364921569824
Periscope_1,1281.0358154296875,21.3352653503418,36.62833442687988,2989.0018789327146,0.820566042076971,67.98051220990659,1275.5716552734375,20.92145729064941,32.58245086669922
Web_Downloads_1,1283.51689453125,20.898615646362305,31.577861404418947,2282.0158103382587,0.3733958596357842,14.30784394547285,1273.0340576171875,20.512439727783203,30.093727111816406
Yahoo_1,1285.099658203125,20.859074783325195,30.196972274780272,2714.251365104914,0.1523130474533536,4.771900741402933,1335.031494140625,20.84952735900879,28.01001739501953
Telegram_1,1289.04208984375,21.185120391845704,34.69377975463867,4972.226142021418,0.1904292288594297,22.26810920511722,1287.269287109375,20.79585838317871,32.073638916015625
Google_Play_Store_1,1292.08193359375,21.107000732421877,32.84096145629883,5600.99158585906,0.7420477389145527,19.62058894671645,1312.646484375,20.728740692138672,29.589609146118164
Web_Food_1,1293.123876953125,20.912776947021484,31.32313461303711,1516.817663880587,0.3217624078199151,17.280292982704996,1296.62060546875,20.63618278503418,27.683330535888672
Orange_TV_1,1293.24482421875,21.31401596069336,35.88680992126465,3028.821202657223,0.5763679276430048,80.02723515282909,1263.6822509765625,20.46695899963379,28.16861343383789
Pinterest_1,1295.1157958984377,21.18481788635254,33.96389198303223,7387.7786066567905,1.0472013529483228,20.69355368825781,1341.465576171875,21.1240291595459,32.53942108154297
Fortnite_1,1298.5214111328123,21.35436553955078,34.605376434326175,2985.4909267640114,0.4743005817473749,30.094096618920737,1288.0216064453125,21.28317070007324,31.97566032409668
Molotov_1,1299.937060546875,21.220394897460935,31.64715232849121,6128.190602502822,0.4606188528321217,20.95838065092452,1264.8431396484375,20.50969696044922,26.77010536193848
Deezer_1,1300.8617919921876,21.23653259277344,32.74635848999024,5377.015657117367,0.5033855307314662,14.474561496478271,1288.3895263671875,20.91747093200684,30.550220489501957
Spotify_1,1300.933837890625,21.25560760498047,32.90040626525879,5111.183450055122,0.5481609548223787,30.81848688940867,1312.47119140625,20.638898849487305,27.89875602722168
Apple_App_Store_1,1303.9492919921877,21.29257583618164,32.527239608764646,6658.543026868104,0.8281340657311376,25.724881150313887,1289.140625,20.887331008911133,32.08621597290039
Web_Adult_1,1304.2369140625,21.262614059448243,32.45976295471191,2132.8282104337213,0.3692586040889727,26.68180302226159,1291.0152587890625,20.60154914855957,26.39725112915039
Wikipedia_1,1304.7372314453123,21.1500732421875,32.79216270446777,3107.795148215294,0.3168932884852983,22.142342316364523,1317.21484375,21.039119720458984,30.894041061401367
Web_Weather_1,1305.64599609375,21.148849487304688,32.915256881713866,5710.646476626396,0.6568009546026587,37.37459780670091,1294.544921875,20.622432708740234,27.21441078186035
Tor_1,1305.741796875,21.257752227783204,33.008622360229495,2404.063281449079,0.5803059963518171,40.705349111674295,1287.954833984375,20.412670135498047,26.408544540405277
Deezer,1306.41337890625,21.145103454589844,33.62178764343262,8321.77090195179,0.1968045987203368,2.3620570624805985,1293.374267578125,20.8311767578125,33.45568084716797
Apple_Music_1,1306.62392578125,21.26349754333496,31.895257568359376,1060.4821001255511,0.2887369406505605,16.96640644080384,1308.34912109375,20.7376766204834,26.859960556030277
Waze_1,1308.347998046875,21.420170974731445,33.91313858032227,3547.348809947968,0.2777857672009849,19.40133033389225,1314.533203125,21.387062072753903,34.63470458984375
Dropbox_1,1309.1269287109376,21.296828079223637,34.015198135375975,4830.27009095192,0.735444585623336,22.97950523363601,1318.3170166015625,20.962482452392575,30.46868133544922
Web_Transportation_1,1311.3045166015625,21.23426933288574,31.94085693359375,4178.128245053291,0.4023220856275292,21.37000394869101,1320.203857421875,20.967283248901367,28.100982666015625
Twitch_1,1311.88525390625,21.219956970214845,32.86402587890625,4928.233428817987,0.6978965491629788,27.644319493797376,1308.0283203125,20.394201278686523,25.869495391845703
Apple_Web_Services_1,1313.319287109375,21.2499568939209,32.99060249328613,5171.746493605375,0.6493129547897842,29.46332604024501,1297.51953125,20.405811309814453,27.788471221923828
Netflix_1,1318.4060302734374,21.42178230285645,33.77931632995605,5912.457374062538,0.7112374014389934,33.32600490518148,1282.341064453125,20.668336868286133,28.39165687561035
Google_Docs_1,1319.07822265625,21.35727767944336,33.429460525512695,3490.408054378033,0.5367245194627321,34.14857352815161,1333.5206298828125,21.00477409362793,26.72073554992676
