,mse,mase,mae,mape,fold,id,trial_num
0,1349.1689453125,0.7640588283538818,21.7022705078125,44.97834014892578,0,Apple_Video,1
0,1319.700439453125,0.7216638922691345,21.785253524780273,36.12617111206055,1,Apple_Video,1
0,1292.140625,0.6611248254776001,20.880155563354492,29.489261627197266,2,Apple_Video,1
0,1237.4140625,0.657569944858551,21.126161575317383,30.08560562133789,3,Apple_Video,1
0,1312.58251953125,0.644154965877533,20.62685203552246,30.769630432128906,4,Apple_Video,1
0,1417.0277099609375,0.7614972591400146,21.62889862060547,40.672706604003906,0,Google_Play_Store,1
0,1387.732666015625,0.7563498020172119,22.83112144470215,42.597110748291016,1,Google_Play_Store,1
0,1291.3819580078125,0.6585208773612976,20.79570770263672,28.98623275756836,2,Google_Play_Store,1
0,1190.9805908203125,0.6339133381843567,20.37190818786621,28.073999404907227,3,Google_Play_Store,1
0,1319.521484375,0.6697434782981873,21.4432315826416,33.960689544677734,4,Google_Play_Store,1
0,1491.9176025390625,0.812320351600647,23.070188522338867,41.80506896972656,0,Google_Maps,1
0,1356.2027587890625,0.7476553916931152,22.56674575805664,41.09052276611328,1,Google_Maps,1
0,1348.711181640625,0.6779012680053711,21.409605026245117,30.708587646484375,2,Google_Maps,1
0,1236.6343994140625,0.6516197323799133,20.9378662109375,30.107492446899414,3,Google_Maps,1
0,1350.6031494140625,0.6644991636276245,21.280635833740234,31.63725471496582,4,Google_Maps,1
0,1356.0098876953125,0.7645171880722046,21.712875366210938,40.15108108520508,0,Web_Clothes,1
0,1305.904541015625,0.7184630632400513,21.68727684020996,35.099761962890625,1,Web_Clothes,1
0,1284.8974609375,0.6575428247451782,20.76729393005371,28.249927520751953,2,Web_Clothes,1
0,1245.0689697265625,0.6505220532417297,20.898773193359375,27.209707260131836,3,Web_Clothes,1
0,1306.094970703125,0.6537607312202454,20.93250846862793,30.546035766601562,4,Web_Clothes,1
0,1314.14892578125,0.7381620407104492,20.96674346923828,41.222129821777344,0,Uber,1
0,1376.0611572265625,0.7445923686027527,22.473115921020508,38.611331939697266,1,Uber,1
0,1326.786865234375,0.6725925207138062,21.2396240234375,31.2156982421875,2,Uber,1
0,1301.54638671875,0.6587782502174377,21.16228675842285,27.680625915527344,3,Uber,1
0,1360.1153564453125,0.6582013368606567,21.078174591064453,28.494220733642578,4,Uber,1
0,1555.9288330078125,0.8184828162193298,23.24502182006836,39.014739990234375,0,Twitter,1
0,1403.3101806640625,0.7643140554428101,23.066041946411133,44.762290954589844,1,Twitter,1
0,1338.7677001953125,0.6835529804229736,21.587535858154297,33.91498947143555,2,Twitter,1
0,1226.5355224609375,0.6422387361526489,20.639476776123047,27.97941780090332,3,Twitter,1
0,1383.109619140625,0.6772761940956116,21.682653427124023,32.42391586303711,4,Twitter,1
0,1361.4227294921875,0.7572171688079834,21.50541877746582,38.08964920043945,0,Microsoft_Mail,1
0,1401.038330078125,0.7627062797546387,23.0259952545166,45.12322998046875,1,Microsoft_Mail,1
0,1296.8282470703125,0.6579397916793823,20.77871322631836,28.356420516967773,2,Microsoft_Mail,1
0,1413.577392578125,0.665966808795929,21.395458221435547,37.5260124206543,3,Microsoft_Mail,1
0,1353.871337890625,0.666910707950592,21.35533332824707,35.935401916503906,4,Microsoft_Mail,1
0,1392.9610595703125,0.773414671421051,21.96776580810547,41.256988525390625,0,Microsoft_Store,1
0,1379.4251708984375,0.7387615442276001,22.300434112548828,37.99936294555664,1,Microsoft_Store,1
0,1263.47265625,0.668343722820282,21.10442352294922,31.95267677307129,2,Microsoft_Store,1
0,1188.1597900390625,0.625671923160553,20.106834411621094,26.989246368408203,3,Microsoft_Store,1
0,1299.8369140625,0.647917628288269,20.751014709472656,28.53017807006836,4,Microsoft_Store,1
0,1310.0338134765625,0.7405797839164734,21.035924911499023,37.371150970458984,0,Apple_Music,1
0,1332.6806640625,0.7320189476013184,22.094039916992188,38.12254333496094,1,Apple_Music,1
0,1310.8974609375,0.6741591691970825,21.290525436401367,34.92455291748047,2,Apple_Music,1
0,1242.1295166015625,0.6497448682785034,20.882658004760742,29.51995086669922,3,Apple_Music,1
0,1298.1710205078125,0.6493012309074402,20.790771484375,26.70246124267578,4,Apple_Music,1
0,1332.7696533203125,0.7412554621696472,21.05276870727539,39.308685302734375,0,Microsoft_Office,1
0,1358.07177734375,0.7468206882476807,22.541379928588867,41.7999267578125,1,Microsoft_Office,1
0,1289.674560546875,0.6588003635406494,20.806976318359375,29.247737884521484,2,Microsoft_Office,1
0,1207.005615234375,0.6320893168449402,20.308500289916992,28.738924026489258,3,Microsoft_Office,1
0,1337.6400146484375,0.6457915306091309,20.681005477905273,27.774200439453125,4,Microsoft_Office,1
0,1335.138916015625,0.7465742230415344,21.20755386352539,36.25718307495117,0,Pokemon_GO,1
0,1319.0938720703125,0.721077561378479,21.77102279663086,34.59352111816406,1,Pokemon_GO,1
0,1267.4232177734375,0.6563566327095032,20.72994613647461,32.60466003417969,2,Pokemon_GO,1
0,1227.7626953125,0.6555660367012024,21.072301864624023,34.417633056640625,3,Pokemon_GO,1
0,1304.6463623046875,0.6421555280685425,20.56344985961914,26.95656967163086,4,Pokemon_GO,1
0,1429.832763671875,0.7941089868545532,22.55670928955078,45.22857666015625,0,Clash_of_Clans,1
0,1452.46875,0.7578327655792236,22.88469886779785,42.299766540527344,1,Clash_of_Clans,1
0,1340.863037109375,0.6783208250999451,21.421142578125,27.64200782775879,2,Clash_of_Clans,1
